ID,Owner,Name,Position,Start,End,Salary
10490,Jake/Luke,LaMarr Woodley,LB,2010,2011,$5
4526,Koci,Lance Briggs,LB,2010,2012,$6
9400,Syed,Lance Moore,WR,FA,2010,$21
12747,,Lardarius Webb,DB,FA,2010
12730,Patrick,LaRod Stephens-Howling,RB,FA,2010,$1
10451,Schexes,LaRon Landry,DB,FA,2010,$1
5528,Koci,Larry Fitzgerald,WR,2008,2010,$145
4485,,Larry Johnson,RB,FA,2010
9607,,Laurence Maroney,RB,FA,2010
10519,,Laurent Robinson,WR,FA,2010
2209,,Laveranues Coles,WR,FA,2010
10459,Schexes,Lawrence Timmons,LB,FA,2010,$1
3413,,Lawrence Tynes,K,FA,2010
10580,,Le'Ron McClain,RB,FA,2010
5538,Jake/Luke,Lee Evans,WR,2010,2010,$6
13213,Patrick,LeGarrette Blount,RB,2010,2012,$1
10615,,Legedu Naanee,WR,FA,2010
9631,,LenDale White,RB,FA,2010
11245,James,Leodis McKelvin,DB,FA,2010,$1
9703,Trevor,Leon Washington,RB,2010,2010,$25
12514,Jake/Luke,LeSean McCoy,RB,2010,2011,$95
11287,,Limas Sweed,WR,FA,2010
8459,,Lofa Tatupu,LB,FA,2010
1680,John,London Fletcher,LB,FA,2010,$3
12528,James,Louis Delmas,DB,FA,2010,$1
12585,,Louis Murphy,WR,FA,2010
12426,,Malcolm Jenkins,DB,FA,2010
11285,,Malcolm Kelly,WR,FA,2010
6016,Koci,Malcom Floyd,WR,2010,2010,$60
2299,,Marc Bulger,QB,FA,2010
13409,Syed,Marc Mariani,WR,FA,2010,$1
9614,John,Marcedes Lewis,TE,FA,2010,$1
4469,Trevor,Marcus Trufant,DB,2008,2010,$2
13221,Jake/Luke,Mardy Gilyard,WR,2010,2012,$2
11329,Syed,Mario Manningham,WR,2010,2012,$1
9587,Trevor,Mario Williams,DL,2009,2011,$19
8523,Patrick,Marion Barber,RB,2009,2011,$125
8437,Daniel,Mark Clayton,WR,FA,2010,$1
12482,Trevor,Mark Sanchez,QB,2010,2010,$50
9838,Syed,Marques Colston,WR,2009,2011,$120
10456,Patrick,Marshawn Lynch,RB,2010,2012,$12
11295,James,Martellus Bennett,TE,2009,2011,$7
10636,Trevor,Mason Crosby,K,2010,2012,$2
9618,,Mathias Kiwanuka,DL,FA,2010
4333,Keyon,Matt Bryant,K,FA,2010,$1
8644,Patrick,Matt Cassel,QB,2010,2012,$15
11278,Daniel,Matt Forte,RB,2010,2011,$120
1575,Keyon,Matt Hasselbeck,QB,2010,2010,$12
9596,,Matt Leinart,QB,FA,2010
11128,,Matt Moore,QB,FA,2010
11122,James,Matt Prater,K,FA,2010,$1
11237,Trevor,Matt Ryan,QB,2008,2010,$10
5615,Daniel,Matt Schaub,QB,2008,2010,$37
11387,,Matt Slater,WR,FA,2010
12483,Schexes,Matthew Stafford,QB,2009,2011,$25
9646,Schexes,Maurice Jones-Drew,RB,2008,2010,$142
3582,Koci,Maurice Morris,RB,FA,2010,$15
5644,,Mewelde Moore,RB,FA,2010
10544,Jake/Luke,Michael Bush,RB,2010,2011,$22
12563,Patrick,Michael Crabtree,WR,2009,2011,$28
10463,John,Michael Griffin,DB,FA,2010,$1
13387,John,Michael Hoomanawanui,TE,2010,2012,$1
5679,Keyon,Michael Turner,RB,2010,2010,$175
2549,Koci,Michael Vick,QB,FA,2010,$6
10327,,Micheal Spurlock,WR,FA,2010
9864,,Mike Bell,RB,FA,2010
12499,Patrick,Mike Goodson,RB,FA,2010,$5
11436,Daniel,Mike Hart,RB,FA,2010,$1
8461,,Mike Nugent,K,FA,2010
1788,,Mike Peterson,LB,FA,2010
10523,Syed,Mike Sims-Walker,WR,FA,2010,$5
12598,Syed,Mike Thomas,WR,2010,2011,$14
11658,Jake/Luke,Mike Tolbert,RB,FA,2010,$3
12601,Jake/Luke,Mike Wallace,WR,2010,2011,$40
8425,Koci,Mike Williams (SEA),WR,2010,2012,$1
13489,Koci,Mike Williams (TB),WR,2010,2012,$8
10147,James,Miles Austin,WR,2010,2012,$125
12581,John,Mohamed Massaquoi,WR,2009,2011,$14
13208,Daniel,Montario Hardesty,RB,2010,2011,$28
13264,,Morgan Burnett,DB,FA,2010
936,,Muhsin Muhammad,WR,FA,2010
13257,,Nate Allen,DB,FA,2010
4529,Koci,Nate Burleson,WR,2010,2010,$45
2569,Trevor,Nate Clements,DB,2008,2010,$4
5590,,Nate Kaeding,K,FA,2010
9307,Patrick,Nate Washington,WR,FA,2010,$1
13234,John,Ndamukong Suh,DL,FA,2010,$2
2300,Daniel,Neil Rackers,K,FA,2010,$1
8465,,Nick Collins,DB,FA,2010
10621,John,Nick Folk,K,FA,2010,$3
1170,,Olindo Mare,K,FA,2010
8480,Keyon,Oshiomogho Atogwe,DB,2009,2011,$1
4514,Trevor,Osi Umenyiora,DL,2009,2011,$4
9684,Daniel,Owen Daniels,TE,2008,2010,$4
4243,John,Paris Lenon,LB,FA,2010,$1
12527,,Pat Chung,DB,FA,2010
5741,Daniel,Patrick Crayton,WR,2010,2010,$10
1782,,Patrick Kerney,DL,FA,2010
12599,,Patrick Turner,WR,FA,2010
10455,Koci,Patrick Willis,LB,2010,2012,$37
10478,Schexes,Paul Posluszny,LB,2010,2012,$1
12569,Patrick,Percy Harvin,WR,2009,2011,$42
13344,,Perrish Cox,DB,FA,2010
11461,Jake/Luke,Peyton Hillis,RB,FA,2010,$8
1428,John,Peyton Manning,QB,2010,2010,$151
5529,Jake/Luke,Philip Rivers,QB,2009,2011,$85
11439,Keyon,Pierre Garcon,WR,2010,2011,$52
10713,Koci,Pierre Thomas,RB,2008,2010,$2
2139,Daniel,Plaxico Burress,WR,2010,2012,$1
9832,,Quinton Ganther,RB,FA,2010
12555,,Ramses Barden,WR,FA,2010
3642,Schexes,Randy McMichael,TE,FA,2010,$1
1433,Trevor,Randy Moss,WR,2010,2010,$155
12503,Schexes,Rashad Jennings,RB,FA,2010,$1
11257,Syed,Rashard Mendenhall,RB,2008,2010,$58
9268,,Rashied Davis,WR,FA,2010
9713,,Ray Edwards,DL,FA,2010
964,Koci,Ray Lewis,LB,2010,2012,$1
11289,James,Ray Rice,RB,2008,2010,$2
9588,Koci,Reggie Bush,RB,FA,2010,$1
2578,Jake/Luke,Reggie Wayne,WR,2010,2010,$169
2489,,Rian Lindell,K,FA,2010
2554,,Richard Seymour,DL,FA,2010
1756,James,Ricky Williams,RB,2009,2010,$14
13225,Syed,Riley Cooper,WR,FA,2010,$1
9235,Patrick,Rob Bironas,K,2010,2010,$1
13229,Trevor,Rob Gronkowski,TE,2010,2012,$1
9721,,Rob Ninkovich,DL,FA,2010
9354,,Robbie Gould,K,FA,2010
4596,Keyon,Robert Mathis,DL,2009,2011,$1
10471,Keyon,Robert Meachem,WR,FA,2010,$18
3761,,Rock Cartwright,RB,FA,2010
8442,Daniel,Roddy White,WR,2010,2011,$110
13255,,Rolando McClain,LB,FA,2010
9629,,Roman Harper,DB,FA,2010
3734,,Ronald Curry,WR,FA,2010
8417,Daniel,Ronnie Brown,RB,2010,2011,$65
8469,,Roscoe Parrish,WR,FA,2010
5532,Trevor,Roy E. Williams,WR,2010,2011,$15
12698,,Roy Miller,DL,FA,2010
3589,,Ryan Denney,DL,FA,2010
8664,Keyon,Ryan Fitzpatrick,QB,FA,2010,$10
9475,Patrick,Ryan Grant,RB,FA,2010,$1
1328,,Ryan Longwell,K,FA,2010
13204,Syed,Ryan Mathews,RB,2010,2012,$28
8491,,Ryan Moats,RB,FA,2010
12702,,Ryan Mouton,DB,FA,2010
12731,,Ryan Succop,K,FA,2010
11362,Patrick,Ryan Torain,RB,FA,2010,$50
2658,,Sage Rosenfels,QB,FA,2010
4548,,Sam Aiken,WR,FA,2010
13197,John,Sam Bradford,QB,2010,2012,$6
12595,,Sammie Stroughter,WR,FA,2010
2287,,Sammy Morris,RB,FA,2010
2564,Koci,Santana Moss,WR,2010,2012,$35
9611,Daniel,Santonio Holmes,WR,2010,2010,$55
13418,Trevor,Scotty McGee,DB,2010,2010,$1
13284,,Sean Lee,LB,FA,2010
5669,,Sean Ryan,TE,FA,2010
13243,Trevor,Sean Weatherspoon,LB,2010,2012,$1
2148,Jake/Luke,Sebastian Janikowski,K,2010,2010,$2
4568,,Seneca Wallace,QB,FA,2010
4260,Schexes,Shaun Hill,QB,FA,2010,$1
5623,James,Shaun Phillips,LB,FA,2010,$1
8427,,Shawne Merriman,LB,FA,2010
3504,,Shayne Graham,K,FA,2010
12500,Syed,Shonn Greene,RB,2009,2011,$28
10488,Daniel,Sidney Rice,WR,2009,2011,$4
10387,,Spencer Havner,TE,FA,2010
6132,James,Spencer Johnson,DL,FA,2010,$1
13594,John,Stafon Johnson,RB,2010,2012,$4
12021,Syed,Stefan Logan,RB,2010,2010,$10
4877,,Stephen Cooper,LB,FA,2010
9704,,Stephen Gostkowski,K,FA,2010
9702,,Stephen Tulloch,LB,FA,2010
10585,John,Steve Breaston,WR,2010,2010,$30
11458,Syed,Steve Johnson,WR,FA,2010,$2
11323,Trevor,Steve Slaton,RB,2008,2010,$7
2622,Trevor,Steve Smith (CAR),WR,2010,2010,$105
10495,Trevor,Steve Smith (NYG),WR,2010,2011,$45
11923,,Steven Hauschka,K,FA,2010
5549,James,Steven Jackson,RB,2010,2010,$200
