"Player","Team","Position","Type","Team","Bid","Pr","Grp/Max","Date (PST)","Week"
"Jeffery Simmons","TEN","DL","Claim","Figrin J'OHN and the Modal Nodes","1.00","11","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Grady Jarrett","ATL","DL","Claim","Figrin J'OHN and the Modal Nodes","1.00","10","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Vonn Bell","CIN","DB","Claim","Figrin J'OHN and the Modal Nodes","1.00","9","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Andrew Sendejo","CLE","DB","Claim","Figrin J'OHN and the Modal Nodes","1.00","8","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Stephon Gilmore","NE","DB","Claim","Figrin J'OHN and the Modal Nodes","1.00","6","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Tahir Whitehead","CAR","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","5","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Todd Davis","MIN","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","4","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Peyton Barber","WAS","RB","Claim","Kelce and the Kickers (MITCH)","2.00","4","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Shaquil Barrett","TB","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","3","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Austin MacGinnis","LAR","K","Claim","Figrin J'OHN and the Modal Nodes","1.00","2","1/2","Wed Sep 9, 2020, 9:00AM","1"
"Mason Crosby","GB","K","Claim","Kelce and the Kickers (MITCH)","2.00","3","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Chandler Jones","ARI","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","2","2/99","Wed Sep 9, 2020, 9:00AM","1"
"Austin Seibert","CLE/CIN","K","Claim","Figrin J'OHN and the Modal Nodes","1.00","1","1/2","Wed Sep 9, 2020, 9:00AM","1"
"Nyheim Hines","IND","RB","Claim","(Keyon) Quon T. Hill and the Zits","2.00","2","4/1","Wed Sep 9, 2020, 9:00AM","1"
"Nick Kwiatkoski","LV","LB","Claim","(Keyon) Quon T. Hill and the Zits","1.00","2","1/2","Wed Sep 9, 2020, 9:00AM","1"
"Yannick Ngakoue","MIN/BAL","DL","Claim","Kelce and the Kickers (MITCH)","2.00","2","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Zach Pascal","IND","WR","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","2","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Joshua Dobbs","PIT","QB","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","2","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Ka'imi Fairbairn","HOU","K","Claim","Cap'n Geech & The Shrimp Shaq Shooters","1.00","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Matt Gay","IND/LAR","K","Drop","Cap'n Geech & The Shrimp Shaq Shooters","","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Younghoe Koo","ATL","K","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","3/1","Wed Sep 9, 2020, 9:00AM","1"
"Jalen Richard","LV","RB","Claim","(REYN) Sex Bob-omb and the City","10.00","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Justin Jackson","LAC","RB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Cameron Heyward","PIT","DL","Claim","(QTM) Tyler Dethklokett","1.00","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Mike Davis","CAR","RB","Claim","KoMu: Ladies&Gents, the Fabulous Staches","1.00","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Reggie Bonnafon","CAR","RB","Drop","KoMu: Ladies&Gents, the Fabulous Staches","","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Devonta Freeman","NYG","RB","Claim","Kelce and the Kickers (MITCH)","5.00","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"A.J. Johnson","DEN","LB","Claim","(Keyon) Quon T. Hill and the Zits","3.00","1","1/2","Wed Sep 9, 2020, 9:00AM","1"
"Greg Olsen","SEA","TE","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","2/1","Wed Sep 9, 2020, 9:00AM","1"
"K.J. Wright","SEA","LB","Claim","Figrin J'OHN and the Modal Nodes","1.00","1","2/99","Wed Sep 9, 2020, 9:00AM","1"
"James Robinson","JAX","RB","Claim","(SCHX) Onederlic Life to Live","6.00","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Dexter Williams","GB","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Wed Sep 9, 2020, 9:00AM","1"
"Nyheim Hines","IND","RB","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Mon Sep 7, 2020, 1:30PM","1"
"Dontrell Hilliard","CLE/HOU","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Sun Sep 6, 2020, 6:12AM","1"
"Hunter Renfrow","LV","WR","Claim","(pat) Crucifictorious Maids","8.00","1","1/99","Fri Sep 4, 2020, 7:15AM","1"
"Elliott Fry","ATL","K","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Fri Sep 4, 2020, 7:15AM","1"
"Adrian Peterson","DET","RB","Claim","(pat) Crucifictorious Maids","21.00","1","1/99","Fri Sep 4, 2020, 7:15AM","1"
"Blaine Gabbert","TB","QB","Drop","(pat) Crucifictorious Maids","","1","1/99","Fri Sep 4, 2020, 7:14AM","1"
"Joe Flacco","NYJ","QB","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Fri Sep 4, 2020, 7:14AM","1"
"Alvin Kamara","NO","RB","Claim","Figrin J'OHN and the Modal Nodes","215.00","1","1/99","Fri Sep 4, 2020, 7:14AM","1"
"Hunter Renfrow","LV","WR","Drop","Figrin J'OHN and the Modal Nodes","","1","1/99","Fri Sep 4, 2020, 7:13AM","1"
"Chase McLaughlin","MIN/JAX/NYJ","K","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Fri Sep 4, 2020, 7:13AM","1"
"Chase McLaughlin","MIN/JAX/NYJ","K","Claim","(Keyon) Quon T. Hill and the Zits","1.00","3","1/1","Thu Sep 3, 2020, 9:00AM","1"
"Hunter Renfrow","LV","WR","Claim","Figrin J'OHN and the Modal Nodes","100.00","6","1/99","Thu Sep 3, 2020, 9:00AM","1"
"Alvin Kamara","NO","RB","Drop","Figrin J'OHN and the Modal Nodes","","6","1/99","Thu Sep 3, 2020, 9:00AM","1"
"Joe Flacco","NYJ","QB","Claim","Figrin J'OHN and the Modal Nodes","15.00","2","1/99","Thu Sep 3, 2020, 9:00AM","1"
"Blaine Gabbert","TB","QB","Claim","(pat) Crucifictorious Maids","25.00","1","1/99","Thu Sep 3, 2020, 9:00AM","1"
"Adrian Peterson","DET","RB","Drop","(pat) Crucifictorious Maids","","1","1/99","Thu Sep 3, 2020, 9:00AM","1"
"Elliott Fry","ATL","K","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","2/1","Thu Sep 3, 2020, 9:00AM","1"
"Darwin Thompson","KC","RB","Drop","Kelce and the Kickers (MITCH)","","1","1/99","Thu Sep 3, 2020, 5:53AM","1"
"Hunter Renfrow","LV","WR","Drop","(pat) Crucifictorious Maids","","1","1/99","Wed Sep 2, 2020, 11:02AM","1"
"Tyrell Williams","LV","WR","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Mon Aug 31, 2020, 3:25PM","1"
"Robbie Chosen","CAR","WR","Claim","(Trevor) The Greenbay Packers","3.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Emmanuel Sanders","NO","WR","Claim","(Trevor) The Greenbay Packers","15.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Adam Thielen","MIN","WR","Claim","(Trevor) The Greenbay Packers","138.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Cooper Kupp","LAR","WR","Claim","(Trevor) The Greenbay Packers","160.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Dion Lewis","NYG","RB","Claim","(Trevor) The Greenbay Packers","2.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Le'Veon Bell","NYJ/KC","RB","Claim","(Trevor) The Greenbay Packers","92.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Aaron Jones","GB","RB","Claim","(Trevor) The Greenbay Packers","195.00","1","1/99","Mon Aug 31, 2020, 3:24PM","1"
"Ryan Fitzpatrick","MIA","QB","Claim","(Trevor) The Greenbay Packers","5.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Aaron Rodgers","GB","QB","Claim","(Trevor) The Greenbay Packers","120.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Shaq Thompson","CAR","LB","Claim","(Trevor) The Greenbay Packers","3.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Carlos Dunlap","CIN/SEA","DL","Claim","(Trevor) The Greenbay Packers","2.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Joey Bosa","LAC","DL","Claim","(Trevor) The Greenbay Packers","15.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Marlon Humphrey","BAL","DB","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Kyle Fuller","CHI","DB","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Mon Aug 31, 2020, 3:23PM","1"
"Tracy Walker","DET","DB","Claim","(Trevor) The Greenbay Packers","6.00","1","1/99","Mon Aug 31, 2020, 3:22PM","1"
"Auden Tate","CIN","WR","Claim","(Luke) The Folksmen","1.00","1","1/99","Mon Aug 31, 2020, 3:12PM","1"
"JuJu Smith-Schuster","PIT","WR","Claim","(Luke) The Folksmen","133.00","1","1/99","Mon Aug 31, 2020, 3:12PM","1"
"Julio Jones","ATL","WR","Claim","(Luke) The Folksmen","160.00","1","1/99","Mon Aug 31, 2020, 3:12PM","1"
"Amari Cooper","DAL","WR","Claim","(Luke) The Folksmen","160.00","1","1/99","Mon Aug 31, 2020, 3:12PM","1"
"George Kittle","SF","TE","Claim","(Luke) The Folksmen","135.00","1","1/99","Mon Aug 31, 2020, 3:11PM","1"
"Rashaad Penny","SEA","RB","Claim","(Luke) The Folksmen","1.00","1","1/99","Mon Aug 31, 2020, 3:11PM","1"
"Justice Hill","BAL","RB","Claim","(Luke) The Folksmen","1.00","1","1/99","Mon Aug 31, 2020, 3:11PM","1"
"J.D. McKissic","WAS","RB","Claim","(Luke) The Folksmen","1.00","1","1/99","Mon Aug 31, 2020, 3:11PM","1"
"James Conner","PIT","RB","Claim","(Luke) The Folksmen","105.00","1","1/99","Mon Aug 31, 2020, 3:11PM","1"
"Philip Rivers","IND","QB","Claim","(Luke) The Folksmen","48.00","1","1/99","Mon Aug 31, 2020, 3:11PM","1"
