Source,Year,EspnId,Owner,Name,Position,Start,End,Salary
dynastyData.xml,2009,9588,,Reggie Bush,RB,2008,2010,24
dynastyData.xml,2009,2578,,Reggie Wayne,WR,2008,2009,121
dynastyData.xml,2009,1756,,Ricky Williams,RB,2009,2010,14
dynastyData.xml,2009,9235,,Rob Bironas,K,FA,2009,1
dynastyData.xml,2009,4596,,Robert Mathis,DL,2009,2011,1
dynastyData.xml,2009,10471,,Robert Meachem,WR,2008,2010,5
dynastyData.xml,2009,8442,,Roddy White,WR,2008,2009,53
dynastyData.xml,2009,3734,,Ronald Curry,WR,FA,2009,1
dynastyData.xml,2009,8417,,Ronnie Brown,RB,2009,2009,82
dynastyData.xml,2009,5532,,Roy E. Williams,WR,2008,2009,105
dynastyData.xml,2009,12698,,Roy Miller,DL,FA,2009,1
dynastyData.xml,2009,3589,,Ryan Denney,DL,FA,2009,1
dynastyData.xml,2009,9475,,Ryan Grant,RB,2009,2009,100
dynastyData.xml,2009,1328,,Ryan Longwell,K,FA,2009,1
dynastyData.xml,2009,12702,,Ryan Mouton,DB,FA,2009,1
dynastyData.xml,2009,12731,,Ryan Succop,K,2009,2011,3
dynastyData.xml,2009,12595,,Sammie Stroughter,WR,2009,2011,1
dynastyData.xml,2009,2287,,Sammy Morris,RB,FA,2009,4
dynastyData.xml,2009,2564,,Santana Moss,WR,2009,2011,51
dynastyData.xml,2009,9611,,Santonio Holmes,WR,2009,2010,115
dynastyData.xml,2009,4568,,Seneca Wallace,QB,FA,2009,1
dynastyData.xml,2009,4260,,Shaun Hill,QB,2009,2011,1
dynastyData.xml,2009,8427,,Shawne Merriman,LB,2008,2010,3
dynastyData.xml,2009,12500,,Shonn Greene,RB,2009,2011,28
dynastyData.xml,2009,10488,,Sidney Rice,WR,2009,2011,4
dynastyData.xml,2009,12021,,Stefan Logan,RB,FA,2009,1
dynastyData.xml,2009,4877,,Stephen Cooper,LB,FA,2009,1
